Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,63,George RussellRUS,Mercedes,51,16:37:59,1:43.370,209.062
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,51,16:36:47,1:44.232,207.333
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,49,16:33:38,1:44.241,207.315
4,16,Charles LeclercLEC,Ferrari,49,16:33:36,1:44.561,206.681
5,11,Sergio PerezPER,Red Bull Racing Honda RBPT,50,16:35:00,1:44.589,206.625
6,55,Carlos SainzSAI,Ferrari,48,16:32:14,1:45.175,205.474
7,44,Lewis HamiltonHAM,Mercedes,48,16:32:15,1:45.346,205.141
8,10,Pierre GaslyGAS,Alpine Renault,47,16:31:14,1:45.540,204.764
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,45,16:27:01,1:45.627,204.595
10,81,Oscar PiastriPIA,McLaren Mercedes,51,16:38:12,1:45.631,204.587
11,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,51,16:38:09,1:45.727,204.401
12,4,Lando NorrisNOR,McLaren Mercedes,49,16:34:33,1:45.738,204.380
13,20,Kevin MagnussenMAG,Haas Ferrari,51,16:38:15,1:45.850,204.164
14,31,Esteban OconOCO,Alpine Renault,49,16:34:31,1:45.908,204.052
15,23,Alexander AlbonALB,Williams Mercedes,51,16:38:14,1:45.925,204.019
16,77,Valtteri BottasBOT,Alfa Romeo Ferrari,36,16:12:06,1:46.304,203.292
17,2,Logan SargeantSAR,Williams Mercedes,49,16:34:53,1:46.501,202.916
18,27,Nico HulkenbergHUL,Haas Ferrari,34,16:07:51,1:46.731,202.479
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,31,16:02:41,1:47.553,200.931
20,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,4,15:11:32,1:48.781,198.663
