Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,44,16:27:05,1:47.305,234.978
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,32,16:04:12,1:48.922,231.490
3,23,Alexander AlbonALB,Williams Mercedes,35,16:11:05,1:49.841,229.553
4,27,Nico HulkenbergHUL,Haas Ferrari,26,15:54:05,1:49.907,229.415
5,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,27,15:56:01,1:50.188,228.830
6,11,Sergio PerezPER,Red Bull Racing Honda RBPT,31,16:02:33,1:50.308,228.581
7,16,Charles LeclercLEC,Ferrari,30,16:00:46,1:50.436,228.316
8,31,Esteban OconOCO,Alpine Renault,27,15:55:50,1:50.439,228.310
9,2,Logan SargeantSAR,Williams Mercedes,37,16:14:58,1:50.486,228.213
10,77,Valtteri BottasBOT,Alfa Romeo Ferrari,26,15:54:01,1:50.515,228.153
11,63,George RussellRUS,Mercedes,25,15:51:55,1:50.603,227.972
12,10,Pierre GaslyGAS,Alpine Renault,25,15:52:04,1:50.911,227.339
13,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,42,16:23:29,1:50.938,227.283
14,20,Kevin MagnussenMAG,Haas Ferrari,27,15:55:55,1:50.993,227.171
15,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,25,15:52:15,1:50.994,227.169
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,26,15:53:52,1:51.297,226.550
17,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,26,15:53:54,1:51.394,226.353
18,4,Lando NorrisNOR,McLaren Mercedes,26,15:53:47,1:51.682,225.769
19,55,Carlos SainzSAI,Ferrari,9,15:21:24,1:53.138,222.864
