Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Michael SchumacherMSC,Ferrari,65,1:59:49.307,10
2,3,Jean AlesiALE,Benetton Renault,65,+45.302s,6
3,6,Jacques VilleneuveVIL,Williams Renault,65,+48.388s,4
4,15,Heinz-Harald FrentzenFRE,Sauber Ford,64,+1 lap,3
5,7,Mika HakkinenHAK,McLaren Mercedes,64,+1 lap,2
6,10,Pedro DinizDIN,Ligier Mugen Honda,63,+2 laps,1
NC,17,Jos VerstappenVER,Footwork Hart,47,DNF,0
NC,11,Rubens BarrichelloBAR,Jordan Peugeot,45,DNF,0
NC,4,Gerhard BergerBER,Benetton Renault,44,DNF,0
NC,14,Johnny HerbertHER,Sauber Ford,20,DNF,0
NC,12,Martin BrundleBRU,Jordan Peugeot,17,DNF,0
DQ,19,Mika SaloSAL,Tyrrell Yamaha,16,DSQ,0
NC,5,Damon HillHIL,Williams Renault,10,DNF,0
NC,18,Ukyo KatayamaKAT,Tyrrell Yamaha,8,DNF,0
NC,2,Eddie IrvineIRV,Ferrari,1,DNF,0
NC,9,Olivier PanisPAN,Ligier Mugen Honda,1,DNF,0
NC,21,Giancarlo FisichellaFIS,Minardi Ford,1,DNF,0
NC,8,David CoulthardCOU,McLaren Mercedes,0,DNF,0
NC,16,Ricardo RossetROS,Footwork Hart,0,DNF,0
NC,20,Pedro LamyLAM,Minardi Ford,0,DNF,0
