Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Jacques VilleneuveVIL,Williams Renault,77,1:46:21.134,10
2,5,Damon HillHIL,Williams Renault,77,+0.771s,6
3,3,Jean AlesiALE,Benetton Renault,77,+84.212s,4
4,7,Mika HakkinenHAK,McLaren Mercedes,76,+1 lap,3
5,9,Olivier PanisPAN,Ligier Mugen Honda,76,+1 lap,2
6,11,Rubens BarrichelloBAR,Jordan Peugeot,75,+2 laps,1
7,18,Ukyo KatayamaKAT,Tyrrell Yamaha,74,+3 laps,0
8,16,Ricardo RossetROS,Footwork Hart,74,+3 laps,0
9,1,Michael SchumacherMSC,Ferrari,70,DNF,0
10,21,Giovanni LavaggiLAV,Minardi Ford,69,DNF,0
NC,4,Gerhard BergerBER,Benetton Renault,64,DNF,0
NC,15,Heinz-Harald FrentzenFRE,Sauber Ford,50,DNF,0
NC,14,Johnny HerbertHER,Sauber Ford,35,DNF,0
NC,2,Eddie IrvineIRV,Ferrari,31,DNF,0
NC,20,Pedro LamyLAM,Minardi Ford,24,DNF,0
NC,8,David CoulthardCOU,McLaren Mercedes,23,DNF,0
NC,17,Jos VerstappenVER,Footwork Hart,10,DNF,0
NC,12,Martin BrundleBRU,Jordan Peugeot,5,DNF,0
NC,10,Pedro DinizDIN,Ligier Mugen Honda,1,DNF,0
NC,19,Mika SaloSAL,Tyrrell Yamaha,0,DNF,0
