Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,19,Jos VerstappenVER,Arrows Supertec,11,14:20:12,1:44.136,1:44.136
1,14,Jean AlesiALE,Prost Peugeot,19,14:32:09,25.500,25.500
1,15,Nick HeidfeldHEI,Prost Peugeot,21,14:35:38,29.772,29.772
2,19,Jos VerstappenVER,Arrows Supertec,21,14:37:03,28.511,2:12.647
1,6,Jarno TrulliTRU,Jordan Mugen Honda,23,14:37:53,26.934,26.934
1,7,Eddie IrvineIRV,Jaguar Cosworth,23,14:37:57,26.734,26.734
1,21,Gaston MazzacaneMAZ,Minardi Fondmetal,23,14:39:14,26.347,26.347
1,2,David CoulthardCOU,McLaren Mercedes,25,14:40:34,26.663,26.663
1,16,Pedro DinizDIN,Sauber Petronas,25,14:41:01,25.117,25.117
1,17,Mika SaloSAL,Sauber Petronas,26,14:42:22,24.947,24.947
1,18,Pedro de la RosaDLR,Arrows Supertec,26,14:42:43,27.029,27.029
1,1,Mika HakkinenHAK,McLaren Mercedes,27,14:42:57,25.270,25.270
1,3,Michael SchumacherMSC,Ferrari,27,14:43:01,26.716,26.716
1,4,Rubens BarrichelloBAR,Ferrari,28,14:44:58,24.730,24.730
1,22,Jacques VilleneuveVIL,BAR Honda,28,14:45:17,24.192,24.192
1,9,Ralf SchumacherRSC,Williams BMW,29,14:46:46,25.289,25.289
1,23,Ricardo ZontaZON,BAR Honda,29,14:46:59,24.441,24.441
1,8,Johnny HerbertHER,Jaguar Cosworth,32,14:51:54,29.041,29.041
1,12,Alexander WurzWUR,Benetton Playlife,38,15:00:55,26.689,26.689
1,11,Giancarlo FisichellaFIS,Benetton Playlife,40,15:04:06,25.983,25.983
3,19,Jos VerstappenVER,Arrows Supertec,39,15:04:32,26.216,2:38.863
2,17,Mika SaloSAL,Sauber Petronas,42,15:06:26,25.006,49.953
2,22,Jacques VilleneuveVIL,BAR Honda,43,15:07:52,25.157,49.349
2,1,Mika HakkinenHAK,McLaren Mercedes,44,15:08:17,25.748,51.018
2,21,Gaston MazzacaneMAZ,Minardi Fondmetal,42,15:08:36,26.939,53.286
2,6,Jarno TrulliTRU,Jordan Mugen Honda,44,15:09:33,27.635,54.569
2,7,Eddie IrvineIRV,Jaguar Cosworth,44,15:09:35,25.955,52.689
2,16,Pedro DinizDIN,Sauber Petronas,44,15:09:50,26.005,51.122
2,18,Pedro de la RosaDLR,Arrows Supertec,44,15:10:11,26.094,53.123
2,23,Ricardo ZontaZON,BAR Honda,45,15:11:37,28.096,52.537
2,4,Rubens BarrichelloBAR,Ferrari,46,15:11:57,26.284,51.014
2,2,David CoulthardCOU,McLaren Mercedes,46,15:11:58,24.857,51.520
2,3,Michael SchumacherMSC,Ferrari,48,15:14:08,22.889,49.605
