Pos,No,Driver,Car,Time
1,15,Alain ProstPRO,Renault,1:48.537
2,22,Andrea de CesarisDEC,Alfa Romeo,1:48.872
3,6,Keke RosbergROS,Williams Ford,1:49.264
4,28,Didier PironiPIR,Ferrari,1:49.903
5,9,Manfred WinkelhockWIN,ATS Ford,1:50.066
6,23,Bruno GiacomelliGIA,Alfa Romeo,1:50.252
7,12,Nigel MansellMAN,Lotus Ford,1:50.294
8,11,Elio de AngelisDEA,Lotus Ford,1:50.443
9,25,Eddie  CheeverCHE,Ligier Matra,1:50.520
10,8,Niki LaudaLAU,McLaren Ford,1:51.026
11,14,Roberto GuerreroGUE,Ensign Ford,1:51.039
12,5,Derek DalyDAL,Williams Ford,1:51.227
13,26,Jacques LaffiteLAF,Ligier Matra,1:51.270
14,2,Riccardo PatresePAT,Brabham Ford,1:51.508
15,16,Rene ArnouxARN,Renault,1:51.514
16,3,Michele AlboretoALB,Tyrrell Ford,1:51.618
17,7,John WatsonWAT,McLaren Ford,1:51.868
18,17,Jochen MassMAS,March Ford,1:52.271
19,29,Marc SurerSUR,Arrows Ford,1:52.316
20,4,Brian HentonHEN,Tyrrell Ford,1:52.867
21,18,Raul BoeselBOE,March Ford,1:52.870
22,31,Jean-Pierre JarierJAR,Osella Ford,1:52.988
23,32,Riccardo PalettiPAL,Osella Ford,1:54.084
24,30,Mauro BaldiBAL,Arrows Ford,1:54.332
25,10,Eliseo SalazarSAL,ATS Ford,1:55.633
26,20,Chico SerraSER,Fittipaldi Ford,1:55.848
