Pos,No,Driver,Car,Time
1,22,Andrea de CesarisDEC,Alfa Romeo,1:27.316
2,8,Niki LaudaLAU,McLaren Ford,1:27.436
3,16,Rene ArnouxARN,Renault,1:27.763
4,15,Alain ProstPRO,Renault,1:27.979
5,23,Bruno GiacomelliGIA,Alfa Romeo,1:28.087
6,1,Nelson PiquetPIQ,Brabham Ford,1:28.276
7,27,Gilles VilleneuveVIL,Ferrari,1:28.476
8,6,Keke RosbergROS,Williams Ford,1:28.576
9,28,Didier PironiPIR,Ferrari,1:28.680
10,31,Jean-Pierre JarierJAR,Osella Ford,1:28.708
11,7,John WatsonWAT,McLaren Ford,1:28.885
12,3,Michele AlboretoALB,Tyrrell Ford,1:29.027
13,25,Eddie  CheeverCHE,Ligier Matra,1:29.336
14,5,Mario AndrettiAND,Williams Ford,1:29.468
15,26,Jacques LaffiteLAF,Ligier Matra,1:29.587
16,11,Elio de AngelisDEA,Lotus Ford,1:29.694
17,12,Nigel MansellMAN,Lotus Ford,1:29.758
18,2,Riccardo PatresePAT,Brabham Ford,1:29.948
19,14,Roberto GuerreroGUE,Ensign Ford,1:30.186
20,29,Brian HentonHEN,Arrows Ford,1:30.474
21,17,Jochen MassMAS,March Ford,1:30.476
22,33,Derek DalyDAL,Theodore Ford,1:30.919
23,18,Raul BoeselBOE,March Ford,1:30.977
24,4,Slim BorguddBOR,Tyrrell Ford,1:31.033
25,9,Manfred WinkelhockWIN,ATS Ford,1:31.593
26,10,Eliseo SalazarSAL,ATS Ford,1:31.825
