Pos,No,Driver,Car,Time
1,15,Alain ProstPRO,Renault,1:01.380
2,16,Rene ArnouxARN,Renault,1:01.740
3,2,Riccardo PatresePAT,Brabham Ford,1:02.710
4,8,Niki LaudaLAU,McLaren Ford,1:02.984
5,22,Andrea de CesarisDEC,Alfa Romeo,1:03.023
6,1,Nelson PiquetPIQ,Brabham Ford,1:03.183
7,5,Derek DalyDAL,Williams Ford,1:03.291
8,6,Keke RosbergROS,Williams Ford,1:03.589
9,23,Bruno GiacomelliGIA,Alfa Romeo,1:03.776
10,27,Patrick TambayTAM,Ferrari,1:03.896
11,7,John WatsonWAT,McLaren Ford,1:03.995
12,3,Michele AlboretoALB,Tyrrell Ford,1:04.069
13,26,Jacques LaffiteLAF,Ligier Matra,1:04.087
14,29,Marc SurerSUR,Arrows Ford,1:04.928
15,11,Elio de AngelisDEA,Lotus Ford,1:04.967
16,25,Eddie  CheeverCHE,Ligier Matra,1:05.001
17,31,Jean-Pierre JarierJAR,Osella Ford,1:05.179
18,4,Brian HentonHEN,Tyrrell Ford,1:05.391
19,14,Roberto GuerreroGUE,Ensign Ford,1:05.395
20,9,Manfred WinkelhockWIN,ATS Ford,1:05.451
21,35,Derek WarwickWAR,Toleman Hart,1:05.877
22,17,Rupert KeeganKEE,March Ford,1:06.011
23,36,Teo FabiFAB,Toleman Hart,1:06.017
24,18,Raul BoeselBOE,March Ford,1:06.136
25,10,Eliseo SalazarSAL,ATS Ford,1:06.168
26,12,Nigel MansellMAN,Lotus Ford,1:06.211
