Pos,No,Driver,Car,Time
1,77,Valtteri BottasBOT,Mercedes,1:31.387
2,44,Lewis HamiltonHAM,Mercedes,1:31.532
3,5,Sebastian VettelVET,Ferrari,1:31.943
4,7,Kimi RäikkönenRAI,Ferrari,1:32.237
5,20,Kevin MagnussenMAG,Haas Ferrari,1:33.181
6,31,Esteban OconOCO,Force India Mercedes,1:33.413
7,16,Charles LeclercLEC,Sauber Ferrari,1:33.419
8,11,Sergio PerezPER,Force India Mercedes,1:33.563
9,8,Romain GrosjeanGRO,Haas Ferrari,1:33.704
10,9,Marcus EricssonERI,Sauber Ferrari,1:35.196
11,55,Carlos SainzSAI,Renault,
12,27,Nico HulkenbergHUL,Renault,
13,35,Sergey SirotkinSIR,Williams Mercedes,1:35.612
14,18,Lance StrollSTR,Williams Mercedes,1:36.437
15,2,Stoffel VandoorneVAN,McLaren Renault,1:35.977
16,14,Fernando AlonsoALO,McLaren Renault,1:35.504
17,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,
18,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,
19,33,Max VerstappenVER,Red Bull Racing TAG Heuer,
20,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:35.037
