Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:35.658
2,77,Valtteri BottasBOT,Mercedes,1:35.918
3,7,Kimi RäikkönenRAI,Ferrari,1:36.186
4,5,Sebastian VettelVET,Ferrari,1:36.210
5,55,Carlos SainzSAI,Renault,1:36.743
6,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:37.591
7,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:38.032
8,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:38.128
9,20,Kevin MagnussenMAG,Haas Ferrari,1:39.858
10,8,Romain GrosjeanGRO,Haas Ferrari,1:40.593
11,14,Fernando AlonsoALO,McLaren Renault,1:35.214
12,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:36.442
13,27,Nico HulkenbergHUL,Renault,1:36.506
14,9,Marcus EricssonERI,Sauber Ferrari,1:37.075
15,2,Stoffel VandoorneVAN,McLaren Renault,1:18.782
16,16,Charles LeclercLEC,Sauber Ferrari,1:18.817
17,31,Esteban OconOCO,Force India Mercedes,1:19.142
18,11,Sergio PerezPER,Force India Mercedes,1:19.200
19,35,Sergey SirotkinSIR,Williams Mercedes,1:19.301
20,18,Lance StrollSTR,Williams Mercedes,
