Pos,No,Driver,Car,Time
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:14.759
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:14.785
3,44,Lewis HamiltonHAM,Mercedes,1:14.894
4,5,Sebastian VettelVET,Ferrari,1:14.970
5,77,Valtteri BottasBOT,Mercedes,1:15.160
6,7,Kimi RäikkönenRAI,Ferrari,1:15.330
7,27,Nico HulkenbergHUL,Renault,1:15.827
8,55,Carlos SainzSAI,Renault,1:16.084
9,16,Charles LeclercLEC,Sauber Ferrari,1:16.189
10,9,Marcus EricssonERI,Sauber Ferrari,1:16.513
11,31,Esteban OconOCO,Force India Mercedes,1:16.844
12,14,Fernando AlonsoALO,McLaren Renault,1:16.871
13,11,Sergio PerezPER,Force India Mercedes,1:17.167
14,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:17.184
15,2,Stoffel VandoorneVAN,McLaren Renault,1:16.966
16,20,Kevin MagnussenMAG,Haas Ferrari,1:17.599
17,18,Lance StrollSTR,Williams Mercedes,1:17.689
18,8,Romain GrosjeanGRO,Haas Ferrari,1:16.911
19,35,Sergey SirotkinSIR,Williams Mercedes,1:17.886
20,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,
