Pos,No,Driver,Car,Time
1,5,Sebastian VettelVET,Ferrari,1:10.764
2,77,Valtteri BottasBOT,Mercedes,1:10.857
3,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:10.937
4,44,Lewis HamiltonHAM,Mercedes,1:10.996
5,7,Kimi RäikkönenRAI,Ferrari,1:11.095
6,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:11.116
7,27,Nico HulkenbergHUL,Renault,1:11.973
8,31,Esteban OconOCO,Force India Mercedes,1:12.084
9,55,Carlos SainzSAI,Renault,1:12.168
10,11,Sergio PerezPER,Force India Mercedes,1:12.671
11,20,Kevin MagnussenMAG,Haas Ferrari,1:12.606
12,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:12.635
13,16,Charles LeclercLEC,Sauber Ferrari,1:12.661
14,14,Fernando AlonsoALO,McLaren Renault,1:12.856
15,2,Stoffel VandoorneVAN,McLaren Renault,1:12.865
16,18,Lance StrollSTR,Williams Mercedes,1:13.590
17,35,Sergey SirotkinSIR,Williams Mercedes,1:13.643
18,9,Marcus EricssonERI,Sauber Ferrari,1:14.593
19,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:13.047
20,8,Romain GrosjeanGRO,Haas Ferrari,
