Pos,No,Driver,Car,Time
1,5,Sebastian VettelVET,Ferrari,1:31.095
2,7,Kimi RäikkönenRAI,Ferrari,1:31.182
3,77,Valtteri BottasBOT,Mercedes,1:31.625
4,44,Lewis HamiltonHAM,Mercedes,1:31.675
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:31.796
6,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:31.948
7,27,Nico HulkenbergHUL,Renault,1:32.532
8,11,Sergio PerezPER,Force India Mercedes,1:32.758
9,55,Carlos SainzSAI,Renault,1:32.819
10,8,Romain GrosjeanGRO,Haas Ferrari,1:32.855
11,20,Kevin MagnussenMAG,Haas Ferrari,1:32.986
12,31,Esteban OconOCO,Force India Mercedes,1:33.057
13,14,Fernando AlonsoALO,McLaren Renault,1:33.232
14,2,Stoffel VandoorneVAN,McLaren Renault,1:33.505
15,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:33.795
16,35,Sergey SirotkinSIR,Williams Mercedes,1:34.062
17,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:34.101
18,18,Lance StrollSTR,Williams Mercedes,1:34.285
19,16,Charles LeclercLEC,Sauber Ferrari,1:34.454
20,9,Marcus EricssonERI,Sauber Ferrari,1:34.914
