Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:33.660
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:33.982
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:34.148
4,4,Lando NorrisNOR,McLaren Mercedes,1:34.165
5,81,Oscar PiastriPIA,McLaren Mercedes,1:34.273
6,16,Charles LeclercLEC,Ferrari,1:34.289
7,55,Carlos SainzSAI,Ferrari,1:34.297
8,63,George RussellRUS,Mercedes,1:34.433
9,27,Nico HulkenbergHUL,Haas Ferrari,1:34.604
10,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:34.665
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:34.838
12,3,Daniel RicciardoRIC,RB Honda RBPT,1:34.934
13,31,Esteban OconOCO,Alpine Renault,1:35.223
14,23,Alexander AlbonALB,Williams Mercedes,1:35.241
15,10,Pierre GaslyGAS,Alpine Renault,1:35.463
16,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:35.505
17,20,Kevin MagnussenMAG,Haas Ferrari,1:35.516
18,44,Lewis HamiltonHAM,Mercedes,1:35.573
19,22,Yuki TsunodaTSU,RB Honda RBPT,1:35.746
20,2,Logan SargeantSAR,Williams Mercedes,1:36.358
