Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:27.241
2,16,Charles LeclercLEC,Ferrari,1:27.382
3,55,Carlos SainzSAI,Ferrari,1:27.455
4,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:27.460
5,4,Lando NorrisNOR,McLaren Mercedes,1:27.594
6,81,Oscar PiastriPIA,McLaren Mercedes,1:27.675
7,63,George RussellRUS,Mercedes,1:28.067
8,44,Lewis HamiltonHAM,Mercedes,1:28.107
9,27,Nico HulkenbergHUL,Haas Ferrari,1:28.146
10,22,Yuki TsunodaTSU,RB Honda RBPT,1:28.192
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.222
12,10,Pierre GaslyGAS,Alpine Renault,1:28.324
13,31,Esteban OconOCO,Alpine Renault,1:28.371
14,23,Alexander AlbonALB,Williams Mercedes,1:28.413
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:28.427
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:28.463
17,2,Logan SargeantSAR,Williams Mercedes,1:28.487
18,20,Kevin MagnussenMAG,Haas Ferrari,1:28.619
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:28.824
20,3,Daniel RicciardoRIC,RB Honda RBPT,1:28.617
