Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:04.314
2,4,Lando NorrisNOR,McLaren Mercedes,1:04.718
3,63,George RussellRUS,Mercedes,1:04.840
4,55,Carlos SainzSAI,Ferrari,1:04.851
5,44,Lewis HamiltonHAM,Mercedes,1:04.903
6,16,Charles LeclercLEC,Ferrari,1:05.044
7,81,Oscar PiastriPIA,McLaren Mercedes,1:05.048
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:05.202
9,27,Nico HulkenbergHUL,Haas Ferrari,1:05.385
10,31,Esteban OconOCO,Alpine Renault,1:05.883
11,3,Daniel RicciardoRIC,RB Honda RBPT,1:05.289
12,20,Kevin MagnussenMAG,Haas Ferrari,1:05.347
13,10,Pierre GaslyGAS,Alpine Renault,1:05.359
14,22,Yuki TsunodaTSU,RB Honda RBPT,1:05.412
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:05.639
16,23,Alexander AlbonALB,Williams Mercedes,1:05.736
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:05.819
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:05.847
19,2,Logan SargeantSAR,Williams Mercedes,1:05.856
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:06.061
