Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:14.746
2,4,Lando NorrisNOR,McLaren Mercedes,1:14.837
3,16,Charles LeclercLEC,Ferrari,1:14.970
4,55,Carlos SainzSAI,Ferrari,1:15.233
5,81,Oscar PiastriPIA,McLaren Mercedes,1:14.820
6,63,George RussellRUS,Mercedes,1:15.234
7,22,Yuki TsunodaTSU,RB Honda RBPT,1:15.465
8,44,Lewis HamiltonHAM,Mercedes,1:15.504
9,3,Daniel RicciardoRIC,RB Honda RBPT,1:15.674
10,27,Nico HulkenbergHUL,Haas Ferrari,1:15.980
11,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:15.706
12,31,Esteban OconOCO,Alpine Renault,1:15.906
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:15.992
14,23,Alexander AlbonALB,Williams Mercedes,1:16.200
15,10,Pierre GaslyGAS,Alpine Renault,1:16.381
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:16.626
17,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:16.834
18,20,Kevin MagnussenMAG,Haas Ferrari,1:16.854
19,2,Logan SargeantSAR,Williams Mercedes,
20,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:16.917
