Pos,No,Driver,Car,Time
1,4,Lando NorrisNOR,McLaren Mercedes,1:29.525
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:29.728
3,44,Lewis HamiltonHAM,Mercedes,1:29.841
4,63,George RussellRUS,Mercedes,1:29.867
5,81,Oscar PiastriPIA,McLaren Mercedes,1:29.953
6,27,Nico HulkenbergHUL,Haas Ferrari,1:30.115
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:30.214
8,22,Yuki TsunodaTSU,RB Honda RBPT,1:30.354
9,16,Charles LeclercLEC,Ferrari,
10,55,Carlos SainzSAI,Ferrari,
11,23,Alexander AlbonALB,Williams Mercedes,1:30.474
12,43,Franco ColapintoCOL,Williams Mercedes,1:30.481
13,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:30.579
14,20,Kevin MagnussenMAG,Haas Ferrari,1:30.653
15,31,Esteban OconOCO,Alpine Renault,1:30.769
16,3,Daniel RicciardoRIC,RB Honda RBPT,1:31.085
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:31.094
18,10,Pierre GaslyGAS,Alpine Renault,1:31.312
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:31.572
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:32.054
