Pos,No,Driver,Car,Time
1,63,George RussellRUS,Mercedes,1:32.312
2,55,Carlos SainzSAI,Ferrari,1:32.410
3,10,Pierre GaslyGAS,Alpine Renault,1:32.664
4,16,Charles LeclercLEC,Ferrari,1:32.783
5,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:32.797
6,4,Lando NorrisNOR,McLaren Mercedes,1:33.008
7,22,Yuki TsunodaTSU,RB Honda RBPT,1:33.029
8,81,Oscar PiastriPIA,McLaren Mercedes,1:33.033
9,27,Nico HulkenbergHUL,Haas Ferrari,1:33.062
10,44,Lewis HamiltonHAM,Mercedes,1:48.106
11,31,Esteban OconOCO,Alpine Renault,1:33.221
12,20,Kevin MagnussenMAG,Haas Ferrari,1:33.297
13,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:33.566
14,30,Liam LawsonLAW,RB Honda RBPT,1:34.257
15,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:34.155
16,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:34.258
17,23,Alexander AlbonALB,Williams Mercedes,1:34.425
18,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:34.484
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:34.430
20,43,Franco ColapintoCOL,Williams Mercedes,1:33.749
