Pos,No,Driver,Car,Time
1,16,Charles LeclercLEC,Ferrari,1:41.365
2,81,Oscar PiastriPIA,McLaren Mercedes,1:41.686
3,55,Carlos SainzSAI,Ferrari,1:41.805
4,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:41.813
5,63,George RussellRUS,Mercedes,1:41.874
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:42.023
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:42.369
8,43,Franco ColapintoCOL,Williams Mercedes,1:42.530
9,23,Alexander AlbonALB,Williams Mercedes,1:42.859
10,50,Oliver BearmanBEA,Haas Ferrari,1:42.968
11,22,Yuki TsunodaTSU,RB Honda RBPT,1:43.035
12,27,Nico HulkenbergHUL,Haas Ferrari,1:43.191
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:43.404
14,3,Daniel RicciardoRIC,RB Honda RBPT,1:43.547
15,4,Lando NorrisNOR,McLaren Mercedes,1:43.609
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:43.618
17,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:44.246
18,10,Pierre GaslyGAS,Alpine Renault,
19,44,Lewis HamiltonHAM,Mercedes,1:42.289
20,31,Esteban OconOCO,Alpine Renault,1:44.504
