Pos,No,Driver,Car,Time
1,63,George RussellRUS,Mercedes,1:20.575
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:20.520
3,4,Lando NorrisNOR,McLaren Mercedes,1:20.772
4,81,Oscar PiastriPIA,McLaren Mercedes,1:20.829
5,16,Charles LeclercLEC,Ferrari,1:20.852
6,44,Lewis HamiltonHAM,Mercedes,1:21.011
7,55,Carlos SainzSAI,Ferrari,1:21.041
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:21.251
9,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:21.425
10,20,Kevin MagnussenMAG,Haas Ferrari,1:21.500
11,10,Pierre GaslyGAS,Alpine Renault,1:21.437
12,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:21.501
13,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:21.731
14,22,Yuki TsunodaTSU,RB Honda RBPT,1:21.771
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:21.911
16,23,Alexander AlbonALB,Williams Mercedes,1:22.390
17,30,Liam LawsonLAW,RB Honda RBPT,1:22.411
18,27,Nico HulkenbergHUL,Haas Ferrari,1:22.442
19,43,Franco ColapintoCOL,Williams Mercedes,1:22.594
20,31,Esteban OconOCO,Alpine Renault,1:22.714
