Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:27.472
2,16,Charles LeclercLEC,Ferrari,1:27.791
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:27.807
4,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:27.846
5,81,Oscar PiastriPIA,McLaren Mercedes,1:28.089
6,4,Lando NorrisNOR,McLaren Mercedes,1:28.132
7,63,George RussellRUS,Mercedes,1:28.316
8,44,Lewis HamiltonHAM,Mercedes,1:28.460
9,22,Yuki TsunodaTSU,RB Honda RBPT,1:28.547
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.572
11,38,Oliver BearmanBEA,Ferrari,1:28.642
12,23,Alexander AlbonALB,Williams Mercedes,1:28.980
13,20,Kevin MagnussenMAG,Haas Ferrari,1:29.020
14,3,Daniel RicciardoRIC,RB Honda RBPT,1:29.025
15,27,Nico HulkenbergHUL,Haas Ferrari,
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:29.179
17,31,Esteban OconOCO,Alpine Renault,1:29.475
18,10,Pierre GaslyGAS,Alpine Renault,1:29.479
19,2,Logan SargeantSAR,Williams Mercedes,1:29.526
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,
