Pos,No,Driver,Car,Lap,Time,Avg speed
1,9,Kimi RäikkönenRAI,McLaren Mercedes,23,1:35.483,208.987
2,8,Nick HeidfeldHEI,Williams BMW,40,1:35.712,208.487
3,16,Jarno TrulliTRU,Toyota,18,1:35.816,208.261
4,5,Fernando AlonsoALO,Renault,18,1:35.899,208.081
5,7,Mark WebberWEB,Williams BMW,20,1:36.026,207.806
6,6,Giancarlo FisichellaFIS,Renault,21,1:36.182,207.469
7,17,Ralf SchumacherRSC,Toyota,15,1:36.321,207.169
8,10,Juan Pablo MontoyaMOY,McLaren Mercedes,42,1:36.585,206.603
9,14,David CoulthardCOU,RBR Cosworth,18,1:36.790,206.165
10,2,Rubens BarrichelloBAR,Ferrari,22,1:36.878,205.978
11,15,Christian KlienKLI,RBR Cosworth,17,1:36.902,205.927
12,1,Michael SchumacherMSC,Ferrari,41,1:36.982,205.757
13,12,Felipe MassaMAS,Sauber Petronas,18,1:37.212,205.270
14,3,Jenson ButtonBUT,BAR Honda,2,1:37.912,203.803
15,11,Jacques VilleneuveVIL,Sauber Petronas,18,1:38.058,203.499
16,19,Narain KarthikeyanKAR,Jordan Toyota,18,1:39.833,199.881
17,18,Tiago MonteiroMON,Jordan Toyota,36,1:40.432,198.689
18,4,Anthony DavidsonDAV,BAR Honda,2,1:41.470,196.657
19,21,Christijan AlbersALB,Minardi Cosworth,12,1:42.465,194.747
20,20,Patrick Friesacher FRI,Minardi Cosworth,2,1:43.558,192.692
