Pos,No,Driver,Car,Lap,Time,Avg speed
1,9,Kimi RäikkönenRAI,McLaren Mercedes,60,1:20.502,229.902
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,41,1:20.700,229.338
3,6,Giancarlo FisichellaFIS,Renault,43,1:21.159,228.041
4,5,Fernando AlonsoALO,Renault,40,1:21.228,227.847
5,1,Michael SchumacherMSC,Ferrari,23,1:21.675,226.600
6,17,Ralf SchumacherRSC,Toyota,46,1:21.960,225.812
7,3,Jenson ButtonBUT,BAR Honda,42,1:21.993,225.721
8,16,Jarno TrulliTRU,Toyota,56,1:22.112,225.394
9,2,Rubens BarrichelloBAR,Ferrari,41,1:22.302,224.874
10,12,Felipe MassaMAS,Sauber Petronas,45,1:22.466,224.427
11,4,Takuma SatoSAT,BAR Honda,54,1:22.551,224.195
12,14,David CoulthardCOU,RBR Cosworth,44,1:23.089,222.744
13,15,Christian KlienKLI,RBR Cosworth,58,1:23.147,222.588
14,11,Jacques VilleneuveVIL,Sauber Petronas,16,1:23.210,222.420
15,7,Mark WebberWEB,Williams BMW,16,1:23.291,222.204
16,8,Nick HeidfeldHEI,Williams BMW,58,1:23.360,222.020
17,18,Tiago MonteiroMON,Jordan Toyota,38,1:24.247,219.682
18,19,Narain KarthikeyanKAR,Jordan Toyota,8,1:25.257,217.080
19,21,Christijan AlbersALB,Minardi Cosworth,53,1:26.182,214.750
20,20,Patrick Friesacher FRI,Minardi Cosworth,37,1:26.489,213.987
