Pos,No,Driver,Car,Lap,Time,Avg speed
1,9,Kimi RäikkönenRAI,McLaren Mercedes,29,1:12.268,214.651
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,27,1:12.650,213.522
3,5,Fernando AlonsoALO,Renault,21,1:12.653,213.513
4,1,Michael SchumacherMSC,Ferrari,25,1:12.800,213.082
5,6,Giancarlo FisichellaFIS,Renault,11,1:13.190,211.946
6,2,Rubens BarrichelloBAR,Ferrari,49,1:13.192,211.941
7,16,Jarno TrulliTRU,Toyota,69,1:13.570,210.852
8,7,Mark WebberWEB,Williams BMW,45,1:13.590,210.794
9,17,Ralf SchumacherRSC,Toyota,25,1:13.724,210.411
10,3,Jenson ButtonBUT,BAR Honda,24,1:13.746,210.349
11,15,Christian KlienKLI,RBR Cosworth,50,1:13.800,210.195
12,11,Jacques VilleneuveVIL,Sauber Petronas,25,1:14.054,209.474
13,12,Felipe MassaMAS,Sauber Petronas,70,1:14.343,208.659
14,4,Takuma SatoSAT,BAR Honda,32,1:14.394,208.516
15,19,Narain KarthikeyanKAR,Jordan Toyota,41,1:14.906,207.091
16,18,Tiago MonteiroMON,Jordan Toyota,41,1:15.113,206.520
17,21,Christijan AlbersALB,Minardi Cosworth,19,1:15.527,205.388
18,20,Robert DoornbosDOO,Minardi Cosworth,16,1:15.792,204.670
