Pos,No,Driver,Car,Lap,Time,Avg speed
1,6,Giancarlo FisichellaFIS,Renault,66,1:15.641,220.213
2,1,Michael SchumacherMSC,Ferrari,31,1:15.648,220.193
3,10,Juan Pablo MontoyaMOY,McLaren Mercedes,55,1:15.771,219.836
4,9,Kimi RäikkönenRAI,McLaren Mercedes,41,1:15.977,219.240
5,5,Fernando AlonsoALO,Renault,59,1:16.098,218.891
6,17,Ralf SchumacherRSC,Toyota,63,1:16.469,217.829
7,8,Nick HeidfeldHEI,Williams BMW,60,1:16.519,217.687
8,16,Jarno TrulliTRU,Toyota,63,1:16.614,217.417
9,7,Mark WebberWEB,Williams BMW,62,1:16.761,217.000
10,12,Felipe MassaMAS,Sauber Petronas,51,1:16.802,216.884
11,14,David CoulthardCOU,RBR Cosworth,65,1:16.947,216.476
12,2,Rubens BarrichelloBAR,Ferrari,64,1:17.156,215.889
13,11,Jacques VilleneuveVIL,Sauber Petronas,43,1:17.585,214.696
14,18,Tiago MonteiroMON,Jordan Toyota,22,1:18.998,210.855
15,15,Vitantonio LiuzziLIU,RBR Cosworth,9,1:19.435,209.695
16,19,Narain KarthikeyanKAR,Jordan Toyota,16,1:19.734,208.909
17,21,Christijan AlbersALB,Minardi Cosworth,15,1:20.124,207.892
18,20,Patrick Friesacher FRI,Minardi Cosworth,10,1:20.865,205.987
