Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Fernando AlonsoALO,Renault,44,1:30.711,204.305
2,9,Kimi RäikkönenRAI,McLaren Mercedes,9,1:30.940,203.791
3,2,Rubens BarrichelloBAR,Ferrari,44,1:31.028,203.594
4,8,Nick HeidfeldHEI,Williams BMW,9,1:31.124,203.380
5,14,David CoulthardCOU,RBR Cosworth,19,1:31.306,202.974
6,1,Michael SchumacherMSC,Ferrari,19,1:31.503,202.537
7,6,Giancarlo FisichellaFIS,Renault,47,1:31.708,202.084
8,17,Ralf SchumacherRSC,Toyota,25,1:31.724,202.049
9,16,Jarno TrulliTRU,Toyota,43,1:31.779,201.928
10,10,Juan Pablo MontoyaMOY,McLaren Mercedes,42,1:31.807,201.866
11,4,Takuma SatoSAT,BAR Honda,26,1:31.889,201.686
12,3,Jenson ButtonBUT,BAR Honda,20,1:31.955,201.542
13,15,Vitantonio LiuzziLIU,RBR Cosworth,43,1:31.971,201.506
14,12,Felipe MassaMAS,Sauber Petronas,18,1:32.329,200.725
15,11,Jacques VilleneuveVIL,Sauber Petronas,41,1:32.583,200.174
16,19,Narain KarthikeyanKAR,Jordan Toyota,21,1:33.292,198.653
17,18,Tiago MonteiroMON,Jordan Toyota,39,1:33.425,198.370
18,21,Christijan AlbersALB,Minardi Cosworth,18,1:35.047,194.985
19,20,Patrick Friesacher FRI,Minardi Cosworth,18,1:35.536,193.987
