Pos,No,Driver,Car,Lap,Time,Avg speed
1,9,Kimi RäikkönenRAI,McLaren Mercedes,23,1:14.384,211.061
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,24,1:14.576,210.518
3,5,Fernando AlonsoALO,Renault,38,1:14.727,210.092
4,1,Michael SchumacherMSC,Ferrari,32,1:14.868,209.697
5,6,Giancarlo FisichellaFIS,Renault,24,1:14.890,209.635
6,3,Jenson ButtonBUT,BAR Honda,30,1:15.189,208.801
7,7,Mark WebberWEB,Williams BMW,23,1:15.401,208.214
8,2,Rubens BarrichelloBAR,Ferrari,46,1:15.480,207.996
9,8,Nick HeidfeldHEI,Williams BMW,20,1:15.752,207.249
10,17,Ralf SchumacherRSC,Toyota,44,1:15.827,207.044
11,16,Jarno TrulliTRU,Toyota,43,1:15.872,206.922
12,11,Jacques VilleneuveVIL,Sauber Petronas,26,1:15.945,206.723
13,12,Felipe MassaMAS,Sauber Petronas,18,1:16.008,206.551
14,4,Takuma SatoSAT,BAR Honda,14,1:16.044,206.454
15,15,Christian KlienKLI,RBR Cosworth,46,1:16.299,205.764
16,14,David CoulthardCOU,RBR Cosworth,17,1:16.414,205.454
17,19,Narain KarthikeyanKAR,Jordan Toyota,20,1:17.015,203.851
18,18,Tiago MonteiroMON,Jordan Toyota,19,1:17.344,202.984
19,21,Christijan AlbersALB,Minardi Cosworth,15,1:18.462,200.091
20,20,Patrick Friesacher FRI,Minardi Cosworth,33,1:18.709,199.463
