Pos,No,Driver,Car,Lap,Time,Avg speed
1,9,Kimi RäikkönenRAI,McLaren Mercedes,25,1:16.423,207.785
2,5,Fernando AlonsoALO,Renault,5,1:16.502,207.571
3,10,Juan Pablo MontoyaMOY,McLaren Mercedes,24,1:16.656,207.154
4,3,Jenson ButtonBUT,BAR Honda,18,1:17.408,205.141
5,6,Giancarlo FisichellaFIS,Renault,18,1:17.511,204.868
6,14,David CoulthardCOU,RBR Cosworth,39,1:17.611,204.605
7,1,Michael SchumacherMSC,Ferrari,22,1:17.714,204.333
8,16,Jarno TrulliTRU,Toyota,67,1:17.792,204.128
9,12,Felipe MassaMAS,Sauber Petronas,11,1:17.805,204.094
10,11,Jacques VilleneuveVIL,Sauber Petronas,17,1:17.841,204.000
11,4,Takuma SatoSAT,BAR Honda,8,1:17.929,203.770
12,2,Rubens BarrichelloBAR,Ferrari,4,1:17.960,203.689
13,8,Nick HeidfeldHEI,Williams BMW,36,1:18.102,203.318
14,17,Ralf SchumacherRSC,Toyota,36,1:18.103,203.316
15,7,Mark WebberWEB,Williams BMW,17,1:18.395,202.558
16,18,Tiago MonteiroMON,Jordan Toyota,32,1:20.004,198.485
17,19,Narain KarthikeyanKAR,Jordan Toyota,9,1:20.156,198.108
18,21,Christijan AlbersALB,Minardi Cosworth,8,1:21.077,195.858
19,20,Patrick Friesacher FRI,Minardi Cosworth,4,1:21.451,194.958
