Pos,No,Driver,Car,Lap,Time,Avg speed
1,9,Kimi RäikkönenRAI,McLaren Mercedes,56,1:33.242,210.458
2,5,Fernando AlonsoALO,Renault,45,1:33.536,209.797
3,6,Giancarlo FisichellaFIS,Renault,54,1:33.563,209.736
4,15,Christian KlienKLI,RBR Cosworth,43,1:33.727,209.369
5,17,Ralf SchumacherRSC,Toyota,44,1:34.035,208.684
6,12,Felipe MassaMAS,Sauber Petronas,43,1:34.094,208.553
7,7,Mark WebberWEB,Williams BMW,53,1:34.271,208.161
8,10,Juan Pablo MontoyaMOY,McLaren Mercedes,15,1:34.501,207.654
9,8,Antonio PizzoniaPIZ,Williams BMW,52,1:34.560,207.525
10,14,David CoulthardCOU,RBR Cosworth,54,1:34.585,207.470
11,11,Jacques VilleneuveVIL,Sauber Petronas,53,1:34.713,207.190
12,3,Jenson ButtonBUT,BAR Honda,53,1:34.766,207.074
13,2,Rubens BarrichelloBAR,Ferrari,18,1:35.011,206.540
14,16,Jarno TrulliTRU,Toyota,16,1:35.347,205.812
15,4,Takuma SatoSAT,BAR Honda,17,1:35.587,205.295
16,1,Michael SchumacherMSC,Ferrari,16,1:35.877,204.674
17,18,Tiago MonteiroMON,Jordan Toyota,13,1:36.563,203.220
18,20,Robert DoornbosDOO,Minardi Cosworth,54,1:36.894,202.526
19,21,Christijan AlbersALB,Minardi Cosworth,48,1:37.215,201.857
20,19,Narain KarthikeyanKAR,Jordan Toyota,17,1:37.398,201.478
