Pos,No,Driver,Car,Time,Gap,Laps
1,5,Sebastian VettelVET,Ferrari,1:14.650,,25
2,44,Lewis HamiltonHAM,Mercedes,1:14.668,+0.018s,24
3,6,Nico RosbergROS,Mercedes,1:14.772,+0.122s,29
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:14.807,+0.157s,22
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:15.081,+0.431s,17
6,26,Daniil KvyatKVY,Toro Rosso Ferrari,1:15.259,+0.609s,23
7,55,Carlos SainzSAI,Toro Rosso Ferrari,1:15.324,+0.674s,26
8,11,Sergio PerezPER,Force India Mercedes,1:15.368,+0.718s,21
9,7,Kimi RäikkönenRAI,Ferrari,1:15.555,+0.905s,22
10,27,Nico HulkenbergHUL,Force India Mercedes,1:15.666,+1.016s,20
11,19,Felipe MassaMAS,Williams Mercedes,1:16.068,+1.418s,29
12,14,Fernando AlonsoALO,McLaren Honda,1:16.257,+1.607s,24
13,22,Jenson ButtonBUT,McLaren Honda,1:16.298,+1.648s,23
14,77,Valtteri BottasBOT,Williams Mercedes,1:16.347,+1.697s,21
15,21,Esteban Gutierrez GUT,Haas Ferrari,1:16.406,+1.756s,23
16,20,Kevin MagnussenMAG,Renault,1:16.412,+1.762s,13
17,8,Romain GrosjeanGRO,Haas Ferrari,1:16.527,+1.877s,27
18,12,Felipe NasrNAS,Sauber Ferrari,1:16.867,+2.217s,23
19,9,Marcus EricssonERI,Sauber Ferrari,1:17.038,+2.388s,32
20,30,Jolyon PalmerPAL,Renault,1:17.482,+2.832s,17
21,94,Pascal WehrleinWEH,MRT Mercedes,1:17.595,+2.945s,32
22,88,Rio HaryantoHAR,MRT Mercedes,1:18.180,+3.530s,34
