Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,33,Max VerstappenVER,Red Bull Racing TAG Heuer,64,15:26:27,1:11.044,218.349
2,44,Lewis HamiltonHAM,Mercedes,63,15:24:46,1:11.845,215.914
3,18,Lance StrollSTR,Williams Mercedes,69,15:35:07,1:11.862,215.863
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,71,15:35:10,1:12.029,215.363
5,77,Valtteri BottasBOT,Mercedes,58,15:18:37,1:12.466,214.064
6,7,Kimi RäikkönenRAI,Ferrari,61,15:22:18,1:12.492,213.987
7,5,Sebastian VettelVET,Ferrari,63,15:24:39,1:12.539,213.849
8,11,Sergio PerezPER,Force India Mercedes,61,15:23:08,1:13.052,212.347
9,10,Pierre GaslyGAS,Toro Rosso,61,15:23:56,1:13.323,211.562
10,14,Fernando AlonsoALO,McLaren Honda,57,15:18:12,1:13.451,211.193
11,19,Felipe MassaMAS,Williams Mercedes,60,15:21:51,1:13.452,211.190
12,8,Romain GrosjeanGRO,Haas Ferrari,66,15:31:00,1:13.532,210.961
13,55,Carlos SainzSAI,Renault,67,15:31:03,1:13.625,210.694
14,9,Marcus EricssonERI,Sauber Ferrari,70,15:35:19,1:13.666,210.577
15,27,Nico HulkenbergHUL,Renault,57,15:18:30,1:13.758,210.314
16,28,Brendon HartleyHAR,Toro Rosso,29,14:44:03,1:14.658,207.779
17,94,Pascal WehrleinWEH,Sauber Ferrari,60,15:22:47,1:14.812,207.351
