Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,49,15:14:02,1:23.361,250.174
2,44,Lewis HamiltonHAM,Mercedes,50,15:14:46,1:23.488,249.793
3,77,Valtteri BottasBOT,Mercedes,53,15:19:03,1:23.722,249.095
4,5,Sebastian VettelVET,Ferrari,51,15:16:46,1:23.897,248.576
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,48,15:13:36,1:24.351,247.238
6,11,Sergio PerezPER,Force India Mercedes,48,15:13:05,1:24.968,245.442
7,8,Romain GrosjeanGRO,Haas Ferrari,48,15:14:20,1:25.020,245.292
8,7,Kimi RäikkönenRAI,Ferrari,43,15:05:43,1:25.054,245.194
9,19,Felipe MassaMAS,Williams Mercedes,30,14:47:17,1:25.477,243.981
10,18,Lance StrollSTR,Williams Mercedes,51,15:17:19,1:25.625,243.559
11,31,Esteban OconOCO,Force India Mercedes,53,15:20:10,1:25.652,243.482
12,30,Jolyon PalmerPAL,Renault,27,14:43:38,1:25.752,243.198
13,14,Fernando AlonsoALO,McLaren Honda,44,15:08:12,1:25.871,242.861
14,26,Daniil KvyatKVY,Toro Rosso,43,15:06:30,1:25.894,242.796
15,20,Kevin MagnussenMAG,Haas Ferrari,48,15:13:42,1:26.037,242.393
16,27,Nico HulkenbergHUL,Renault,46,15:10:52,1:26.131,242.128
17,55,Carlos SainzSAI,Toro Rosso,46,15:10:53,1:26.210,241.906
18,94,Pascal WehrleinWEH,Sauber Ferrari,47,15:13:17,1:26.547,240.965
19,2,Stoffel VandoorneVAN,McLaren Honda,30,14:47:27,1:26.912,239.953
20,9,Marcus EricssonERI,Sauber Ferrari,20,14:33:40,1:27.663,237.897
