Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,5,Sebastian VettelVET,Ferrari,47,19:00:47,1:43.441,208.919
2,44,Lewis HamiltonHAM,Mercedes,46,18:59:05,1:43.469,208.862
3,77,Valtteri BottasBOT,Mercedes,51,19:07:41,1:43.925,207.946
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,46,18:58:48,1:44.882,206.048
5,18,Lance StrollSTR,Williams Mercedes,44,18:55:23,1:45.108,205.605
6,14,Fernando AlonsoALO,McLaren Honda,49,19:04:57,1:45.168,205.488
7,7,Kimi RäikkönenRAI,Ferrari,44,18:57:57,1:45.542,204.760
8,11,Sergio PerezPER,Force India Mercedes,37,18:45:25,1:45.588,204.670
9,31,Esteban OconOCO,Force India Mercedes,39,18:46:50,1:45.634,204.581
10,55,Carlos SainzSAI,Toro Rosso,46,18:59:26,1:45.866,204.133
11,20,Kevin MagnussenMAG,Haas Ferrari,45,18:57:35,1:46.312,203.277
12,33,Max VerstappenVER,Red Bull Racing TAG Heuer,10,17:21:43,1:46.398,203.112
13,2,Stoffel VandoorneVAN,McLaren Honda,45,18:58:24,1:46.648,202.636
14,8,Romain GrosjeanGRO,Haas Ferrari,45,18:58:45,1:46.831,202.289
15,94,Pascal WehrleinWEH,Sauber Ferrari,46,19:00:07,1:47.120,201.743
16,9,Marcus EricssonERI,Sauber Ferrari,45,18:58:23,1:47.186,201.619
17,19,Felipe MassaMAS,Williams Mercedes,10,17:21:50,1:47.340,201.330
18,26,Daniil KvyatKVY,Toro Rosso,9,17:20:20,1:48.394,199.372
19,27,Nico HulkenbergHUL,Renault,9,17:20:16,1:48.536,199.111
20,30,Jolyon PalmerPAL,Renault,5,17:13:19,1:51.673,193.518
