Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,77,Valtteri BottasBOT,Mercedes,52,18:32:36,1:40.650,198.652
2,5,Sebastian VettelVET,Ferrari,55,18:38:03,1:40.770,198.416
3,44,Lewis HamiltonHAM,Mercedes,51,18:30:57,1:41.473,197.041
4,14,Fernando AlonsoALO,McLaren Honda,54,18:37:55,1:41.669,196.661
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,43,18:17:59,1:42.028,195.969
6,18,Lance StrollSTR,Williams Mercedes,52,18:35:47,1:42.324,195.402
7,7,Kimi RäikkönenRAI,Ferrari,53,18:35:03,1:42.338,195.376
8,27,Nico HulkenbergHUL,Renault,53,18:35:42,1:42.376,195.303
9,8,Romain GrosjeanGRO,Haas Ferrari,51,18:32:55,1:42.437,195.187
10,31,Esteban OconOCO,Force India Mercedes,47,18:25:37,1:42.609,194.860
11,11,Sergio PerezPER,Force India Mercedes,52,18:34:07,1:42.689,194.708
12,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,13,17:25:58,1:42.757,194.579
13,19,Felipe MassaMAS,Williams Mercedes,45,18:22:26,1:43.026,194.071
14,55,Carlos SainzSAI,Renault,26,17:49:10,1:43.378,193.410
15,9,Marcus EricssonERI,Sauber Ferrari,36,18:07:48,1:43.567,193.057
16,10,Pierre GaslyGAS,Toro Rosso,33,18:02:27,1:43.844,192.542
17,94,Pascal WehrleinWEH,Sauber Ferrari,50,18:32:02,1:43.867,192.500
18,28,Brendon HartleyHAR,Toro Rosso,52,18:35:32,1:43.897,192.444
19,20,Kevin MagnussenMAG,Haas Ferrari,50,18:32:01,1:43.928,192.387
20,2,Stoffel VandoorneVAN,McLaren Honda,50,18:31:59,1:43.986,192.279
