Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,44,15:21:52,1:35.378,205.745
2,5,Sebastian VettelVET,Ferrari,40,15:15:37,1:35.423,205.648
3,77,Valtteri BottasBOT,Mercedes,41,15:17:44,1:35.849,204.734
4,7,Kimi RäikkönenRAI,Ferrari,42,15:19:17,1:36.003,204.406
5,19,Felipe MassaMAS,Williams Mercedes,50,15:34:04,1:36.511,203.330
6,11,Sergio PerezPER,Force India Mercedes,55,15:41:28,1:36.531,203.288
7,33,Max VerstappenVER,Red Bull Racing TAG Heuer,31,15:01:08,1:36.722,202.886
8,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,36,15:09:21,1:36.791,202.741
9,31,Esteban OconOCO,Force India Mercedes,55,15:41:34,1:37.036,202.230
10,55,Carlos SainzSAI,Toro Rosso,30,14:59:42,1:37.398,201.478
11,20,Kevin MagnussenMAG,Haas Ferrari,35,15:08:27,1:37.528,201.209
12,8,Romain GrosjeanGRO,Haas Ferrari,50,15:33:37,1:37.551,201.162
13,27,Nico HulkenbergHUL,Renault,36,15:10:44,1:38.015,200.210
14,30,Jolyon PalmerPAL,Renault,47,15:28:54,1:38.181,199.871
15,14,Fernando AlonsoALO,McLaren Honda,31,15:01:18,1:39.496,197.230
16,9,Marcus EricssonERI,Sauber Ferrari,50,15:34:20,1:39.732,196.763
17,26,Daniil KvyatKVY,Toro Rosso,18,14:40:04,1:40.090,196.059
18,2,Stoffel VandoorneVAN,McLaren Honda,15,14:35:12,1:41.460,193.412
