Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,5,Sebastian VettelVET,Ferrari,51,15:29:21,1:37.766,203.003
2,77,Valtteri BottasBOT,Mercedes,54,15:34:43,1:37.767,203.001
3,20,Kevin MagnussenMAG,Haas Ferrari,51,15:31:51,1:37.893,202.739
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,39,15:09:41,1:38.060,202.394
5,44,Lewis HamiltonHAM,Mercedes,48,15:24:08,1:38.776,200.927
6,7,Kimi RäikkönenRAI,Ferrari,42,15:14:22,1:38.809,200.860
7,18,Lance StrollSTR,Williams Mercedes,38,15:09:28,1:39.666,199.133
8,39,Brendon HartleyHAR,Toro Rosso,47,15:24:37,1:39.979,198.509
9,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,14,14:27:38,1:40.102,198.265
10,19,Felipe MassaMAS,Williams Mercedes,36,15:05:32,1:40.131,198.208
11,2,Stoffel VandoorneVAN,McLaren Honda,27,14:50:28,1:40.349,197.777
12,55,Carlos SainzSAI,Renault,43,15:17:06,1:40.462,197.555
13,31,Esteban OconOCO,Force India Mercedes,53,15:33:54,1:40.499,197.482
14,11,Sergio PerezPER,Force India Mercedes,14,14:28:01,1:40.851,196.793
15,26,Daniil KvyatKVY,Toro Rosso,19,14:36:36,1:40.971,196.559
16,9,Marcus EricssonERI,Sauber Ferrari,42,15:15:59,1:41.041,196.423
17,8,Romain GrosjeanGRO,Haas Ferrari,36,15:05:30,1:41.259,196.000
18,14,Fernando AlonsoALO,McLaren Honda,21,14:39:51,1:41.537,195.463
19,27,Nico HulkenbergHUL,Renault,2,14:07:14,1:44.270,190.340
20,94,Pascal WehrleinWEH,Sauber Ferrari,2,14:07:19,1:47.073,185.357
