Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,60,1:35:49.641,25
2,33,Max VerstappenVER,Red Bull Racing Honda,60,+4.470s,19
3,3,Daniel RicciardoRIC,Renault,60,+14.613s,15
4,11,Sergio PerezPER,Racing Point BWT Mercedes,60,+16.070s,12
5,55,Carlos SainzSAI,McLaren Renault,60,+21.905s,10
6,10,Pierre GaslyGAS,AlphaTauri Honda,60,+22.766s,8
7,16,Charles LeclercLEC,Ferrari,60,+30.814s,6
8,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,60,+32.596s,4
9,8,Romain GrosjeanGRO,Haas Ferrari,60,+39.081s,2
10,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,60,+40.035s,1
11,5,Sebastian VettelVET,Ferrari,60,+40.810s,0
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,60,+41.476s,0
13,20,Kevin MagnussenMAG,Haas Ferrari,60,+49.585s,0
14,6,Nicholas LatifiLAT,Williams Mercedes,60,+54.449s,0
15,26,Daniil KvyatKVY,AlphaTauri Honda,60,+55.588s,0
NC,4,Lando NorrisNOR,McLaren Renault,42,DNF,0
NC,23,Alexander AlbonALB,Red Bull Racing Honda,23,DNF,0
NC,31,Esteban OconOCO,Renault,22,DNF,0
NC,77,Valtteri BottasBOT,Mercedes,18,DNF,0
NC,63,George RussellRUS,Williams Mercedes,12,DNF,0
