Pos,No,Driver,Car,Laps,Time/retired,Pts
1,10,Pierre GaslyGAS,AlphaTauri Honda,53,1:47:06.056,25
2,55,Carlos SainzSAI,McLaren Renault,53,+0.415s,18
3,18,Lance StrollSTR,Racing Point BWT Mercedes,53,+3.358s,15
4,4,Lando NorrisNOR,McLaren Renault,53,+6.000s,12
5,77,Valtteri BottasBOT,Mercedes,53,+7.108s,10
6,3,Daniel RicciardoRIC,Renault,53,+8.391s,8
7,44,Lewis HamiltonHAM,Mercedes,53,+17.245s,7
8,31,Esteban OconOCO,Renault,53,+18.691s,4
9,26,Daniil KvyatKVY,AlphaTauri Honda,53,+22.208s,2
10,11,Sergio PerezPER,Racing Point BWT Mercedes,53,+23.224s,1
11,6,Nicholas LatifiLAT,Williams Mercedes,53,+32.876s,0
12,8,Romain GrosjeanGRO,Haas Ferrari,53,+35.164s,0
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,53,+36.312s,0
14,63,George RussellRUS,Williams Mercedes,53,+36.593s,0
15,23,Alexander AlbonALB,Red Bull Racing Honda,53,+37.533s,0
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,53,+55.199s,0
NC,33,Max VerstappenVER,Red Bull Racing Honda,30,DNF,0
NC,16,Charles LeclercLEC,Ferrari,23,DNF,0
NC,20,Kevin MagnussenMAG,Haas Ferrari,17,DNF,0
NC,5,Sebastian VettelVET,Ferrari,6,DNF,0
