Pos,No,Driver,Car,Laps,Time/retired,Pts
1,77,Valtteri BottasBOT,Mercedes,53,1:34:00.364,26
2,33,Max VerstappenVER,Red Bull Racing Honda,53,+7.729s,18
3,44,Lewis HamiltonHAM,Mercedes,53,+22.729s,15
4,11,Sergio PerezPER,Racing Point BWT Mercedes,53,+30.558s,12
5,3,Daniel RicciardoRIC,Renault,53,+52.065s,10
6,16,Charles LeclercLEC,Ferrari,53,+62.186s,8
7,31,Esteban OconOCO,Renault,53,+68.006s,6
8,26,Daniil KvyatKVY,AlphaTauri Honda,53,+68.740s,4
9,10,Pierre GaslyGAS,AlphaTauri Honda,53,+89.766s,2
10,23,Alexander AlbonALB,Red Bull Racing Honda,53,+97.860s,1
11,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,52,+1 lap,0
12,20,Kevin MagnussenMAG,Haas Ferrari,52,+1 lap,0
13,5,Sebastian VettelVET,Ferrari,52,+1 lap,0
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,52,+1 lap,0
15,4,Lando NorrisNOR,McLaren Renault,52,+1 lap,0
16,6,Nicholas LatifiLAT,Williams Mercedes,52,+1 lap,0
17,8,Romain GrosjeanGRO,Haas Ferrari,52,+1 lap,0
18,63,George RussellRUS,Williams Mercedes,52,+1 lap,0
NC,55,Carlos SainzSAI,McLaren Renault,0,DNF,0
NC,18,Lance StrollSTR,Racing Point BWT Mercedes,0,DNF,0
