Pos,No,Driver,Car,Laps,Time/retired,Pts
1,11,Sergio PerezPER,Racing Point BWT Mercedes,87,1:31:15.114,25
2,31,Esteban OconOCO,Renault,87,+10.518s,18
3,18,Lance StrollSTR,Racing Point BWT Mercedes,87,+11.869s,15
4,55,Carlos SainzSAI,McLaren Renault,87,+12.580s,12
5,3,Daniel RicciardoRIC,Renault,87,+13.330s,10
6,23,Alexander AlbonALB,Red Bull Racing Honda,87,+13.842s,8
7,26,Daniil KvyatKVY,AlphaTauri Honda,87,+14.534s,6
8,77,Valtteri BottasBOT,Mercedes,87,+15.389s,4
9,63,George RussellRUS,Mercedes,87,+18.556s,3
10,4,Lando NorrisNOR,McLaren Renault,87,+19.541s,1
11,10,Pierre GaslyGAS,AlphaTauri Honda,87,+20.527s,0
12,5,Sebastian VettelVET,Ferrari,87,+22.611s,0
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,87,+24.111s,0
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,87,+26.153s,0
15,20,Kevin MagnussenMAG,Haas Ferrari,87,+32.370s,0
16,89,Jack AitkenAIT,Williams Mercedes,87,+33.674s,0
17,51,Pietro FittipaldiFIT,Haas Ferrari,87,+36.858s,0
NC,6,Nicholas LatifiLAT,Williams Mercedes,52,DNF,0
NC,33,Max VerstappenVER,Red Bull Racing Honda,0,DNF,0
NC,16,Charles LeclercLEC,Ferrari,0,DNF,0
