Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,71,1:22:50.683,25
2,77,Valtteri BottasBOT,Mercedes,71,+13.719s,18
3,33,Max VerstappenVER,Red Bull Racing Honda,71,+33.698s,15
4,23,Alexander AlbonALB,Red Bull Racing Honda,71,+44.400s,12
5,4,Lando NorrisNOR,McLaren Renault,71,+61.470s,10
6,11,Sergio PerezPER,Racing Point BWT Mercedes,71,+62.387s,8
7,18,Lance StrollSTR,Racing Point BWT Mercedes,71,+62.453s,6
8,3,Daniel RicciardoRIC,Renault,71,+62.591s,4
9,55,Carlos SainzSAI,McLaren Renault,70,+1 lap,3
10,26,Daniil KvyatKVY,AlphaTauri Honda,70,+1 lap,1
11,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,70,+1 lap,0
12,20,Kevin MagnussenMAG,Haas Ferrari,70,+1 lap,0
13,8,Romain GrosjeanGRO,Haas Ferrari,70,+1 lap,0
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,70,+1 lap,0
15,10,Pierre GaslyGAS,AlphaTauri Honda,70,+1 lap,0
16,63,George RussellRUS,Williams Mercedes,69,+2 laps,0
17,6,Nicholas LatifiLAT,Williams Mercedes,69,+2 laps,0
NC,31,Esteban OconOCO,Renault,25,DNF,0
NC,16,Charles LeclercLEC,Ferrari,4,DNF,0
NC,5,Sebastian VettelVET,Ferrari,1,DNF,0
