Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,59,2:19:35.060,26
2,77,Valtteri BottasBOT,Mercedes,59,+4.880s,18
3,23,Alexander AlbonALB,Red Bull Racing Honda,59,+8.064s,15
4,3,Daniel RicciardoRIC,Renault,59,+10.417s,12
5,11,Sergio PerezPER,Racing Point BWT Mercedes,59,+15.650s,10
6,4,Lando NorrisNOR,McLaren Renault,59,+18.883s,8
7,26,Daniil KvyatKVY,AlphaTauri Honda,59,+21.756s,6
8,16,Charles LeclercLEC,Ferrari,59,+28.345s,4
9,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,59,+29.770s,2
10,5,Sebastian VettelVET,Ferrari,59,+29.983s,1
11,63,George RussellRUS,Williams Mercedes,59,+32.404s,0
12,8,Romain GrosjeanGRO,Haas Ferrari,59,+42.036s,0
NC,18,Lance StrollSTR,Racing Point BWT Mercedes,42,DNF,0
NC,31,Esteban OconOCO,Renault,7,DNF,0
NC,6,Nicholas LatifiLAT,Williams Mercedes,6,DNF,0
NC,20,Kevin MagnussenMAG,Haas Ferrari,5,DNF,0
NC,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,5,DNF,0
NC,55,Carlos SainzSAI,McLaren Renault,5,DNF,0
NC,33,Max VerstappenVER,Red Bull Racing Honda,0,DNF,0
NC,10,Pierre GaslyGAS,AlphaTauri Honda,0,DNF,0
