Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,70,1:36:12.473,26
2,33,Max VerstappenVER,Red Bull Racing Honda,70,+8.702s,18
3,77,Valtteri BottasBOT,Mercedes,70,+9.452s,15
4,18,Lance StrollSTR,Racing Point BWT Mercedes,70,+57.579s,12
5,23,Alexander AlbonALB,Red Bull Racing Honda,70,+78.316s,10
6,5,Sebastian VettelVET,Ferrari,69,+1 lap,8
7,11,Sergio PerezPER,Racing Point BWT Mercedes,69,+1 lap,6
8,3,Daniel RicciardoRIC,Renault,69,+1 lap,4
9,55,Carlos SainzSAI,McLaren Renault,69,+1 lap,2
10,20,Kevin MagnussenMAG,Haas Ferrari,69,+1 lap,1
11,16,Charles LeclercLEC,Ferrari,69,+1 lap,0
12,26,Daniil KvyatKVY,AlphaTauri Honda,69,+1 lap,0
13,4,Lando NorrisNOR,McLaren Renault,69,+1 lap,0
14,31,Esteban OconOCO,Renault,69,+1 lap,0
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,69,+1 lap,0
16,8,Romain GrosjeanGRO,Haas Ferrari,69,+1 lap,0
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,69,+1 lap,0
18,63,George RussellRUS,Williams Mercedes,69,+1 lap,0
19,6,Nicholas LatifiLAT,Williams Mercedes,65,+5 laps,0
NC,10,Pierre GaslyGAS,AlphaTauri Honda,15,DNF,0
