Pos,No,Driver,Car,Laps,Time/retired,Pts
1,33,Max VerstappenVER,Red Bull Racing Honda,52,1:19:41.993,25
2,44,Lewis HamiltonHAM,Mercedes,52,+11.326s,19
3,77,Valtteri BottasBOT,Mercedes,52,+19.231s,15
4,16,Charles LeclercLEC,Ferrari,52,+29.289s,12
5,23,Alexander AlbonALB,Red Bull Racing Honda,52,+39.146s,10
6,18,Lance StrollSTR,Racing Point BWT Mercedes,52,+42.538s,8
7,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,52,+55.951s,6
8,31,Esteban OconOCO,Renault,52,+64.773s,4
9,4,Lando NorrisNOR,McLaren Renault,52,+65.544s,2
10,26,Daniil KvyatKVY,AlphaTauri Honda,52,+69.669s,1
11,10,Pierre GaslyGAS,AlphaTauri Honda,52,+70.642s,0
12,5,Sebastian VettelVET,Ferrari,52,+73.370s,0
13,55,Carlos SainzSAI,McLaren Renault,52,+74.070s,0
14,3,Daniel RicciardoRIC,Renault,51,+1 lap,0
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,51,+1 lap,0
16,8,Romain GrosjeanGRO,Haas Ferrari,51,+1 lap,0
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,51,+1 lap,0
18,63,George RussellRUS,Williams Mercedes,51,+1 lap,0
19,6,Nicholas LatifiLAT,Williams Mercedes,51,+1 lap,0
NC,20,Kevin MagnussenMAG,Haas Ferrari,43,DNF,0
