Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:27.713,1:27.328,1:26.841,20
2,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:28.179,1:27.097,1:27.202,19
3,55,Carlos SainzSAI,Ferrari,1:27.686,1:27.148,1:27.349,18
4,20,Kevin MagnussenMAG,Haas Ferrari,1:27.809,1:27.673,1:27.767,19
5,10,Pierre GaslyGAS,Alpine Renault,1:28.061,1:27.612,1:27.786,20
6,63,George RussellRUS,Mercedes,1:28.086,1:27.743,1:27.804,20
7,16,Charles LeclercLEC,Ferrari,1:27.713,1:26.964,1:27.861,19
8,31,Esteban OconOCO,Alpine Renault,1:27.872,1:27.444,1:27.935,20
9,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:27.363,1:26.814,DNF,15
10,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:27.864,1:27.564,DNS,15
11,23,Alexander AlbonALB,Williams Mercedes,1:28.234,1:27.795,,15
12,27,Nico HulkenbergHUL,Haas Ferrari,1:27.945,1:27.903,,15
13,44,Lewis HamiltonHAM,Mercedes,1:27.846,1:27.975,,15
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:28.180,1:28.091,,17
15,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:28.325,1:28.395,,16
16,4,Lando NorrisNOR,McLaren Mercedes,1:28.394,,,8
17,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:28.429,,,10
18,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.476,,,8
19,81,Oscar PiastriPIA,McLaren Mercedes,1:28.484,,,9
20,2,Logan SargeantSAR,Williams Mercedes,1:28.577,,,10
