Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:20.851,1:19.092,1:25.858,26
2,27,Nico HulkenbergHUL,Haas Ferrari,1:22.730,1:20.305,1:27.102,25
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:21.481,1:19.776,1:27.286,25
4,44,Lewis HamiltonHAM,Mercedes,1:21.554,1:20.426,1:27.627,26
5,63,George RussellRUS,Mercedes,1:21.798,1:20.098,1:27.893,25
6,31,Esteban OconOCO,Alpine Renault,1:22.114,1:20.406,1:27.945,25
7,4,Lando NorrisNOR,McLaren Mercedes,1:21.998,1:19.347,1:28.046,26
8,55,Carlos SainzSAI,Ferrari,1:22.248,1:19.856,1:29.294,26
9,81,Oscar PiastriPIA,McLaren Mercedes,1:22.190,1:19.659,1:31.349,24
10,23,Alexander AlbonALB,Williams Mercedes,1:21.938,1:18.725,DNF,24
11,16,Charles LeclercLEC,Ferrari,1:21.843,1:20.615,,22
12,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:22.151,1:20.959,,23
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:22.677,1:21.484,,20
14,20,Kevin MagnussenMAG,Haas Ferrari,1:22.351,1:21.678,,21
15,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:22.332,1:21.821,,24
16,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:22.746,,,11
17,10,Pierre GaslyGAS,Alpine Renault,1:22.886,,,11
18,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:23.137,,,12
19,2,Logan SargeantSAR,Williams Mercedes,1:23.337,,,14
20,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:23.342,,,11
