Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:24.160,1:23.740,1:23.445,15
2,16,Charles LeclercLEC,Ferrari,1:24.459,1:23.969,1:23.584,18
3,81,Oscar PiastriPIA,McLaren Mercedes,1:24.487,1:24.278,1:23.782,17
4,63,George RussellRUS,Mercedes,1:24.337,1:24.013,1:23.788,18
5,4,Lando NorrisNOR,McLaren Mercedes,1:24.368,1:23.920,1:23.816,16
6,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:24.286,1:24.207,1:23.968,18
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:24.501,1:24.131,1:24.084,18
8,27,Nico HulkenbergHUL,Haas Ferrari,1:24.425,1:24.213,1:24.108,18
9,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:24.209,1:24.116,1:24.171,17
10,10,Pierre GaslyGAS,Alpine Renault,1:24.600,1:24.078,1:24.548,18
11,44,Lewis HamiltonHAM,Mercedes,1:24.437,1:24.359,,12
12,31,Esteban OconOCO,Alpine Renault,1:24.565,1:24.391,,12
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:24.405,1:24.422,,12
14,23,Alexander AlbonALB,Williams Mercedes,1:24.298,1:24.439,,12
15,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:24.461,1:24.442,,12
16,55,Carlos SainzSAI,Ferrari,1:24.738,,,6
17,20,Kevin MagnussenMAG,Haas Ferrari,1:24.764,,,6
18,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:24.788,,,6
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:25.159,,,6
NC,2,Logan SargeantSAR,Williams Mercedes,DNF,,,6
