Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,16,Charles LeclercLEC,Ferrari,1:36.061,1:35.004,1:34.723,21
2,4,Lando NorrisNOR,McLaren Mercedes,1:35.110,1:35.441,1:34.853,20
3,44,Lewis HamiltonHAM,Mercedes,1:35.091,1:35.240,1:34.862,18
4,55,Carlos SainzSAI,Ferrari,1:35.824,1:35.302,1:34.945,18
5,63,George RussellRUS,Mercedes,1:36.165,1:35.606,1:35.079,18
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:35.346,1:35.008,1:35.081,18
7,10,Pierre GaslyGAS,Alpine Renault,1:36.158,1:35.496,1:35.089,19
8,31,Esteban OconOCO,Alpine Renault,1:36.131,1:35.413,1:35.154,21
9,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:35.989,1:35.679,1:35.173,17
10,81,Oscar PiastriPIA,McLaren Mercedes,1:36.064,1:35.576,1:35.467,20
11,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:35.913,1:35.697,,12
12,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:36.052,1:35.698,,15
13,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:36.082,1:35.858,,15
14,20,Kevin MagnussenMAG,Haas Ferrari,1:36.009,1:35.880,,12
15,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:36.213,1:35.974,,12
16,27,Nico HulkenbergHUL,Haas Ferrari,1:36.235,,,6
17,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:36.268,,,8
18,23,Alexander AlbonALB,Williams Mercedes,1:36.315,,,6
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:36.589,,,9
20,2,Logan SargeantSAR,Williams Mercedes,1:36.827,,,8
