Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:05.116,1:04.951,1:04.391,24
2,16,Charles LeclercLEC,Ferrari,1:05.577,1:05.087,1:04.439,26
3,55,Carlos SainzSAI,Ferrari,1:05.339,1:04.975,1:04.581,25
4,4,Lando NorrisNOR,McLaren Mercedes,1:05.617,1:05.038,1:04.658,23
5,44,Lewis HamiltonHAM,Mercedes,1:05.673,1:05.188,1:04.819,25
6,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:05.710,1:05.121,1:04.893,25
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:05.655,1:05.181,1:04.911,27
8,27,Nico HulkenbergHUL,Haas Ferrari,1:05.740,1:05.362,1:05.090,24
9,10,Pierre GaslyGAS,Alpine Renault,1:05.515,1:05.308,1:05.170,21
10,23,Alexander AlbonALB,Williams Mercedes,1:05.673,1:05.387,1:05.823,21
11,63,George RussellRUS,Mercedes,1:05.686,1:05.428,,21
12,31,Esteban OconOCO,Alpine Renault,1:05.729,1:05.453,,15
13,81,Oscar PiastriPIA,McLaren Mercedes,1:05.683,1:05.605,,19
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:05.763,1:05.680,,14
15,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:05.177,2:06.688,,19
16,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:05.784,,,10
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:05.818,,,9
18,2,Logan SargeantSAR,Williams Mercedes,1:05.948,,,9
19,20,Kevin MagnussenMAG,Haas Ferrari,1:05.971,,,10
20,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:05.974,,,10
