Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:29.878,1:29.964,1:28.877,12
2,81,Oscar PiastriPIA,McLaren Mercedes,1:30.439,1:30.122,1:29.458,14
3,4,Lando NorrisNOR,McLaren Mercedes,1:30.063,1:30.296,1:29.493,12
4,16,Charles LeclercLEC,Ferrari,1:30.393,1:29.940,1:29.542,14
5,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:30.652,1:29.965,1:29.650,18
6,55,Carlos SainzSAI,Ferrari,1:30.651,1:30.067,1:29.850,14
7,44,Lewis HamiltonHAM,Mercedes,1:30.811,1:30.040,1:29.908,18
8,63,George RussellRUS,Mercedes,1:30.811,1:30.268,1:30.219,15
9,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:30.733,1:30.204,1:30.303,18
10,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:30.971,1:30.465,1:30.560,15
11,40,Liam LawsonLAW,AlphaTauri Honda RBPT,1:30.425,1:30.508,,16
12,10,Pierre GaslyGAS,Alpine Renault,1:30.843,1:30.509,,12
13,23,Alexander AlbonALB,Williams Mercedes,1:30.941,1:30.537,,12
14,31,Esteban OconOCO,Alpine Renault,1:30.960,1:30.586,,12
15,20,Kevin MagnussenMAG,Haas Ferrari,1:30.976,1:30.665,,9
16,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:31.049,,,5
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:31.181,,,7
18,27,Nico HulkenbergHUL,Haas Ferrari,1:31.299,,,6
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:31.398,,,6
NC,2,Logan SargeantSAR,Williams Mercedes,DNF,,,2
