Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:25.007,1:24.483,1:23.778,19
2,63,George RussellRUS,Mercedes,1:25.334,1:24.827,1:24.219,21
3,44,Lewis HamiltonHAM,Mercedes,1:26.076,1:24.381,1:24.305,20
4,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:25.223,1:25.241,1:24.369,21
5,16,Charles LeclercLEC,Ferrari,1:25.452,1:25.079,1:24.424,26
6,81,Oscar PiastriPIA,McLaren Mercedes,1:25.266,1:24.724,1:24.540,23
7,10,Pierre GaslyGAS,Alpine Renault,1:25.566,1:24.918,1:24.553,23
8,31,Esteban OconOCO,Alpine Renault,1:25.711,1:24.928,1:24.763,24
9,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:26.038,1:25.297,1:25.058,21
10,4,Lando NorrisNOR,McLaren Mercedes,1:25.131,1:24.685,DNF,21
11,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:26.058,1:25.301,,16
12,55,Carlos SainzSAI,Ferrari,1:25.808,1:25.328,,18
13,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:25.991,1:25.462,,16
14,23,Alexander AlbonALB,Williams Mercedes,1:26.118,1:25.707,,15
15,27,Nico HulkenbergHUL,Haas Ferrari,1:25.904,1:25.783,,12
16,2,Logan SargeantSAR,Williams Mercedes,1:26.210,,,10
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:26.345,,,10
18,40,Liam LawsonLAW,AlphaTauri Honda RBPT,1:26.635,,,10
19,20,Kevin MagnussenMAG,Haas Ferrari,1:27.046,,,9
20,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:27.432,,,9
