Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,7,Kimi RäikkönenRAI,Ferrari,1:20.722,1:19.846,1:19.119,21
2,5,Sebastian VettelVET,Ferrari,1:20.542,1:19.629,1:19.280,20
3,44,Lewis HamiltonHAM,Mercedes,1:20.810,1:19.798,1:19.294,20
4,77,Valtteri BottasBOT,Mercedes,1:21.381,1:20.427,1:19.656,18
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:21.381,1:20.333,1:20.615,15
6,8,Romain GrosjeanGRO,Haas Ferrari,1:21.887,1:21.239,1:20.936,21
7,55,Carlos SainzSAI,Renault,1:21.732,1:21.552,1:21.041,17
8,31,Esteban OconOCO,Force India Mercedes,1:21.570,1:21.315,1:21.099,17
9,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:21.834,1:21.667,1:21.350,24
10,18,Lance StrollSTR,Williams Mercedes,1:21.838,1:21.494,1:21.627,14
11,20,Kevin MagnussenMAG,Haas Ferrari,1:21.783,1:21.669,,12
12,35,Sergey SirotkinSIR,Williams Mercedes,1:21.813,1:21.732,,13
13,14,Fernando AlonsoALO,McLaren Renault,1:21.850,1:22.568,,14
14,27,Nico HulkenbergHUL,Renault,1:21.801,DNF,,12
15,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:21.280,,,3
16,11,Sergio PerezPER,Force India Mercedes,1:21.888,,,5
17,16,Charles LeclercLEC,Sauber Ferrari,1:21.889,,,10
18,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:21.934,,,12
19,9,Marcus EricssonERI,Sauber Ferrari,1:22.048,,,10
20,2,Stoffel VandoorneVAN,McLaren Renault,1:22.085,,,9
