Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:17.419,1:31.242,1:35.658,26
2,77,Valtteri BottasBOT,Mercedes,1:17.123,1:32.081,1:35.918,25
3,7,Kimi RäikkönenRAI,Ferrari,1:17.526,1:32.762,1:36.186,26
4,5,Sebastian VettelVET,Ferrari,1:16.666,1:28.636,1:36.210,24
5,55,Carlos SainzSAI,Renault,1:17.829,1:30.771,1:36.743,25
6,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:18.577,1:31.286,1:37.591,25
7,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:16.940,1:31.178,1:38.032,24
8,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:18.429,1:32.590,1:38.128,25
9,20,Kevin MagnussenMAG,Haas Ferrari,1:18.314,1:32.968,1:39.858,24
10,8,Romain GrosjeanGRO,Haas Ferrari,1:17.901,1:33.650,1:40.593,24
11,14,Fernando AlonsoALO,McLaren Renault,1:18.208,1:35.214,,19
12,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:18.540,1:36.442,,21
13,27,Nico HulkenbergHUL,Renault,1:17.905,1:36.506,,20
14,9,Marcus EricssonERI,Sauber Ferrari,1:18.641,1:37.075,,22
15,18,Lance StrollSTR,Williams Mercedes,1:18.560,DNF,,15
16,2,Stoffel VandoorneVAN,McLaren Renault,1:18.782,,,11
17,16,Charles LeclercLEC,Sauber Ferrari,1:18.817,,,13
18,31,Esteban OconOCO,Force India Mercedes,1:19.142,,,12
19,11,Sergio PerezPER,Force India Mercedes,1:19.200,,,11
20,35,Sergey SirotkinSIR,Williams Mercedes,1:19.301,,,12
