Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:28.702,1:28.017,1:27.760,11
2,77,Valtteri BottasBOT,Mercedes,1:29.297,1:27.987,1:28.059,12
3,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:29.480,1:28.849,1:29.057,10
4,7,Kimi RäikkönenRAI,Ferrari,1:29.631,1:28.595,1:29.521,13
5,8,Romain GrosjeanGRO,Haas Ferrari,1:29.724,1:29.678,1:29.761,17
6,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:30.248,1:29.848,1:30.023,15
7,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:30.137,1:29.810,1:30.093,15
8,31,Esteban OconOCO,Force India Mercedes,1:29.899,1:29.538,1:30.126,13
9,5,Sebastian VettelVET,Ferrari,1:29.049,1:28.279,1:32.192,13
10,11,Sergio PerezPER,Force India Mercedes,1:30.247,1:29.567,1:37.229,16
11,16,Charles LeclercLEC,Sauber Ferrari,1:29.706,1:29.864,,12
12,20,Kevin MagnussenMAG,Haas Ferrari,1:30.219,1:30.226,,13
13,55,Carlos SainzSAI,Renault,1:30.236,1:30.490,,12
14,18,Lance StrollSTR,Williams Mercedes,1:30.317,1:30.714,,10
15,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:29.806,DNS,,4
16,27,Nico HulkenbergHUL,Renault,1:30.361,,,7
17,35,Sergey SirotkinSIR,Williams Mercedes,1:30.372,,,8
18,14,Fernando AlonsoALO,McLaren Renault,1:30.573,,,6
19,2,Stoffel VandoorneVAN,McLaren Renault,1:31.041,,,10
20,9,Marcus EricssonERI,Sauber Ferrari,1:31.213,,,4
