Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:42.977,1:41.553,1:58.179,19
2,5,Sebastian VettelVET,Ferrari,1:43.035,1:41.501,1:58.905,18
3,31,Esteban OconOCO,Force India Mercedes,1:44.003,1:43.302,2:01.851,16
4,11,Sergio PerezPER,Force India Mercedes,1:44.004,1:43.014,2:01.894,14
5,8,Romain GrosjeanGRO,Haas Ferrari,1:43.597,1:43.042,2:02.122,20
6,7,Kimi RäikkönenRAI,Ferrari,1:42.585,1:41.533,2:02.671,13
7,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:43.199,1:42.554,2:02.769,11
8,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:43.604,1:43.126,2:02.939,16
9,20,Kevin MagnussenMAG,Haas Ferrari,1:43.834,1:43.320,2:04.933,19
10,77,Valtteri BottasBOT,Mercedes,1:42.805,1:42.191,DNS,7
11,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:44.221,1:43.844,,14
12,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:44.153,1:43.865,,13
13,16,Charles LeclercLEC,Sauber Ferrari,1:43.654,1:44.062,,14
14,9,Marcus EricssonERI,Sauber Ferrari,1:43.846,1:44.301,,11
15,27,Nico HulkenbergHUL,Renault,1:44.145,,,3
16,55,Carlos SainzSAI,Renault,1:44.489,,,6
17,14,Fernando AlonsoALO,McLaren Renault,1:44.917,,,6
18,35,Sergey SirotkinSIR,Williams Mercedes,1:44.998,,,6
19,18,Lance StrollSTR,Williams Mercedes,1:45.134,,,6
20,2,Stoffel VandoorneVAN,McLaren Renault,1:45.307,,,8
