Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:31.271,1:30.645,1:30.029,19
2,77,Valtteri BottasBOT,Mercedes,1:31.776,1:31.227,1:30.147,17
3,5,Sebastian VettelVET,Ferrari,1:31.820,1:30.751,1:30.400,22
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:31.531,1:30.818,1:30.705,20
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:31.910,1:31.538,1:30.895,20
6,7,Kimi RäikkönenRAI,Ferrari,1:31.567,1:30.772,1:31.057,22
7,55,Carlos SainzSAI,Renault,1:32.394,1:32.016,1:32.126,23
8,16,Charles LeclercLEC,Sauber Ferrari,1:32.538,1:32.055,1:32.635,22
9,20,Kevin MagnussenMAG,Haas Ferrari,1:32.169,1:31.510,1:32.930,24
10,8,Romain GrosjeanGRO,Haas Ferrari,1:32.083,1:31.472,DNF,20
11,31,Esteban OconOCO,Force India Mercedes,1:32.786,1:32.075,,14
12,27,Nico HulkenbergHUL,Renault,1:32.949,1:32.115,,15
13,11,Sergio PerezPER,Force India Mercedes,1:32.692,1:32.454,,15
14,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:32.447,1:32.460,,17
15,9,Marcus EricssonERI,Sauber Ferrari,1:32.804,1:32.820,,18
16,14,Fernando AlonsoALO,McLaren Renault,1:32.976,,,10
17,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:33.025,,,10
18,2,Stoffel VandoorneVAN,McLaren Renault,1:33.162,,,10
19,35,Sergey SirotkinSIR,Williams Mercedes,1:33.636,,,9
20,18,Lance StrollSTR,Williams Mercedes,1:33.729,,,10
