Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Sebastian VettelVET,Ferrari,1:32.171,1:32.385,1:31.095,15
2,7,Kimi RäikkönenRAI,Ferrari,1:32.474,1:32.286,1:31.182,17
3,77,Valtteri BottasBOT,Mercedes,1:32.921,1:32.063,1:31.625,20
4,44,Lewis HamiltonHAM,Mercedes,1:33.283,1:31.914,1:31.675,17
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:32.932,1:32.809,1:31.796,12
6,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:33.877,1:32.688,1:31.948,12
7,27,Nico HulkenbergHUL,Renault,1:33.545,1:32.494,1:32.532,15
8,11,Sergio PerezPER,Force India Mercedes,1:33.464,1:32.931,1:32.758,13
9,55,Carlos SainzSAI,Renault,1:33.315,1:32.970,1:32.819,18
10,8,Romain GrosjeanGRO,Haas Ferrari,1:33.238,1:32.524,1:32.855,19
11,20,Kevin MagnussenMAG,Haas Ferrari,1:33.359,1:32.986,,13
12,31,Esteban OconOCO,Force India Mercedes,1:33.585,1:33.057,,9
13,14,Fernando AlonsoALO,McLaren Renault,1:33.428,1:33.232,,11
14,2,Stoffel VandoorneVAN,McLaren Renault,1:33.824,1:33.505,,11
15,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:34.013,1:33.795,,15
16,35,Sergey SirotkinSIR,Williams Mercedes,1:34.062,,,7
17,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:34.101,,,9
18,18,Lance StrollSTR,Williams Mercedes,1:34.285,,,7
19,16,Charles LeclercLEC,Sauber Ferrari,1:34.454,,,9
20,9,Marcus EricssonERI,Sauber Ferrari,1:34.914,,,9
