Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:04.175,1:03.756,1:03.130,18
2,44,Lewis HamiltonHAM,Mercedes,1:04.080,1:03.577,1:03.149,21
3,5,Sebastian VettelVET,Ferrari,1:04.347,1:03.544,1:03.464,18
4,7,Kimi RäikkönenRAI,Ferrari,1:04.234,1:03.975,1:03.660,21
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:04.273,1:04.001,1:03.840,18
6,8,Romain GrosjeanGRO,Haas Ferrari,1:04.242,1:04.059,1:03.892,17
7,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:04.723,1:04.403,1:03.996,22
8,20,Kevin MagnussenMAG,Haas Ferrari,1:04.460,1:04.291,1:04.051,20
9,55,Carlos SainzSAI,Renault,1:04.948,1:04.561,1:04.725,19
10,27,Nico HulkenbergHUL,Renault,1:04.864,1:04.676,1:05.019,20
11,31,Esteban OconOCO,Force India Mercedes,1:05.148,1:04.845,,19
12,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:05.011,1:04.874,,16
13,16,Charles LeclercLEC,Sauber Ferrari,1:04.967,1:04.979,,19
14,14,Fernando AlonsoALO,McLaren Renault,1:04.965,1:05.058,,17
15,18,Lance StrollSTR,Williams Mercedes,1:05.264,1:05.286,,17
16,2,Stoffel VandoorneVAN,McLaren Renault,1:05.271,,,9
17,11,Sergio PerezPER,Force India Mercedes,1:05.279,,,11
18,35,Sergey SirotkinSIR,Williams Mercedes,1:05.322,,,10
19,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:05.366,,,11
20,9,Marcus EricssonERI,Sauber Ferrari,1:05.479,,,11
