Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:08.464,1:07.795,1:07.281,17
2,5,Sebastian VettelVET,Ferrari,1:08.452,1:07.776,1:07.374,17
3,77,Valtteri BottasBOT,Mercedes,1:08.492,1:07.727,1:07.441,17
4,7,Kimi RäikkönenRAI,Ferrari,1:08.452,1:08.028,1:07.456,17
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:08.205,1:08.017,1:07.778,16
6,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:08.544,1:08.055,1:07.780,16
7,9,Marcus EricssonERI,Sauber Ferrari,1:08.754,1:08.579,1:08.296,19
8,16,Charles LeclercLEC,Sauber Ferrari,1:08.667,1:08.335,1:08.492,23
9,8,Romain GrosjeanGRO,Haas Ferrari,1:08.735,1:08.239,1:08.517,17
10,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:09.046,1:08.616,1:09.029,24
11,20,Kevin MagnussenMAG,Haas Ferrari,1:08.474,1:08.659,,12
12,11,Sergio PerezPER,Force India Mercedes,1:09.217,1:08.741,,15
13,31,Esteban OconOCO,Force India Mercedes,1:09.264,1:08.770,,18
14,27,Nico HulkenbergHUL,Renault,1:09.009,1:08.834,,15
15,35,Sergey SirotkinSIR,Williams Mercedes,1:09.259,1:10.381,,11
16,55,Carlos SainzSAI,Renault,1:09.269,,,9
17,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:09.280,,,10
18,14,Fernando AlonsoALO,McLaren Renault,1:09.402,,,9
19,18,Lance StrollSTR,Williams Mercedes,1:09.441,,,9
20,2,Stoffel VandoorneVAN,McLaren Renault,1:09.601,,,9
