Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,53,1:24:31.198,25
2,77,Valtteri BottasBOT,Mercedes,53,+18.056s,18
3,16,Charles LeclercLEC,Ferrari,53,+18.985s,15
4,33,Max VerstappenVER,Red Bull Racing Honda,53,+34.905s,12
5,5,Sebastian VettelVET,Ferrari,53,+62.796s,11
6,55,Carlos SainzSAI,McLaren Renault,53,+95.462s,8
7,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,52,+1 lap,6
8,27,Nico HulkenbergHUL,Renault,52,+1 lap,4
9,4,Lando NorrisNOR,McLaren Renault,52,+1 lap,2
10,10,Pierre GaslyGAS,Red Bull Racing Honda,52,+1 lap,1
11,3,Daniel RicciardoRIC,Renault,52,+1 lap,0
12,11,Sergio PerezPER,Racing Point BWT Mercedes,52,+1 lap,0
13,18,Lance StrollSTR,Racing Point BWT Mercedes,52,+1 lap,0
14,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,52,+1 lap,0
15,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,52,+1 lap,0
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,52,+1 lap,0
17,20,Kevin MagnussenMAG,Haas Ferrari,52,+1 lap,0
18,88,Robert KubicaKUB,Williams Mercedes,51,+2 laps,0
19,63,George RussellRUS,Williams Mercedes,51,+2 laps,0
NC,8,Romain GrosjeanGRO,Haas Ferrari,44,DNF,0
