Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,70,1:29:07.084,25
2,5,Sebastian VettelVET,Ferrari,70,+3.658s,18
3,16,Charles LeclercLEC,Ferrari,70,+4.696s,15
4,77,Valtteri BottasBOT,Mercedes,70,+51.043s,13
5,33,Max VerstappenVER,Red Bull Racing Honda,70,+57.655s,10
6,3,Daniel RicciardoRIC,Renault,69,+1 lap,8
7,27,Nico HulkenbergHUL,Renault,69,+1 lap,6
8,10,Pierre GaslyGAS,Red Bull Racing Honda,69,+1 lap,4
9,18,Lance StrollSTR,Racing Point BWT Mercedes,69,+1 lap,2
10,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,69,+1 lap,1
11,55,Carlos SainzSAI,McLaren Renault,69,+1 lap,0
12,11,Sergio PerezPER,Racing Point BWT Mercedes,69,+1 lap,0
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,69,+1 lap,0
14,8,Romain GrosjeanGRO,Haas Ferrari,69,+1 lap,0
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,69,+1 lap,0
16,63,George RussellRUS,Williams Mercedes,68,+2 laps,0
17,20,Kevin MagnussenMAG,Haas Ferrari,68,+2 laps,0
18,88,Robert KubicaKUB,Williams Mercedes,67,+3 laps,0
NC,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,59,DNF,0
NC,4,Lando NorrisNOR,McLaren Renault,8,DNF,0
