Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,55,1:34:05.715,26
2,33,Max VerstappenVER,Red Bull Racing Honda,55,+16.772s,18
3,16,Charles LeclercLEC,Ferrari,55,+43.435s,15
4,77,Valtteri BottasBOT,Mercedes,55,+44.379s,12
5,5,Sebastian VettelVET,Ferrari,55,+64.357s,10
6,23,Alexander AlbonALB,Red Bull Racing Honda,55,+69.205s,8
7,11,Sergio PerezPER,Racing Point BWT Mercedes,54,+1 lap,6
8,4,Lando NorrisNOR,McLaren Renault,54,+1 lap,4
9,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,54,+1 lap,2
10,55,Carlos SainzSAI,McLaren Renault,54,+1 lap,1
11,3,Daniel RicciardoRIC,Renault,54,+1 lap,0
12,27,Nico HulkenbergHUL,Renault,54,+1 lap,0
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,54,+1 lap,0
14,20,Kevin MagnussenMAG,Haas Ferrari,54,+1 lap,0
15,8,Romain GrosjeanGRO,Haas Ferrari,54,+1 lap,0
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,54,+1 lap,0
17,63,George RussellRUS,Williams Mercedes,54,+1 lap,0
18,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,53,+2 laps,0
19,88,Robert KubicaKUB,Williams Mercedes,53,+2 laps,0
NC,18,Lance StrollSTR,Racing Point BWT Mercedes,45,DNF,0
