Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,52,1:21:08.452,26
2,77,Valtteri BottasBOT,Mercedes,52,+24.928s,18
3,16,Charles LeclercLEC,Ferrari,52,+30.117s,15
4,10,Pierre GaslyGAS,Red Bull Racing Honda,52,+34.692s,12
5,33,Max VerstappenVER,Red Bull Racing Honda,52,+39.458s,10
6,55,Carlos SainzSAI,McLaren Renault,52,+53.639s,8
7,3,Daniel RicciardoRIC,Renault,52,+54.401s,6
8,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,52,+65.540s,4
9,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,52,+66.720s,2
10,27,Nico HulkenbergHUL,Renault,52,+72.733s,1
11,4,Lando NorrisNOR,McLaren Renault,52,+74.281s,0
12,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,52,+75.617s,0
13,18,Lance StrollSTR,Racing Point BWT Mercedes,52,+81.086s,0
14,63,George RussellRUS,Williams Mercedes,51,+1 lap,0
15,88,Robert KubicaKUB,Williams Mercedes,51,+1 lap,0
16,5,Sebastian VettelVET,Ferrari,51,+1 lap,0
17,11,Sergio PerezPER,Racing Point BWT Mercedes,51,+1 lap,0
NC,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,18,DNF,0
NC,8,Romain GrosjeanGRO,Haas Ferrari,9,DNF,0
NC,20,Kevin MagnussenMAG,Haas Ferrari,6,DNF,0
